,Index,Hotel,Location,Country,Region,Company,Score,Rank,Rooms,Hotel_type,Theme,Year,Century,2021_Rank,Past_rank,Rank_Year,Google_Rate,Google_Habs,Google_Location,Google_Service,Trip_Rate,Trip_Location,Trip_Cleanliness,Trip_Service,Trip_Value
88,67,Palm Island Resort,Palm Island,Saint Vincent and the Grenadines,Caribbean,James Lane and Rob Barrett,96.5,67,43,Small,Island,1968,20,0.0,0.0,2022,4.4,0.0,0.0,0.0,4.5,4.9,4.7,4.7,4.5
89,68,Hotel Savoy,Florence,Italy,Europe,Rocco Forte Hotels,96.47,68,80,Small,Contemporary ,1893,19,0.0,0.0,2022,4.5,0.0,0.0,0.0,4.0,4.6,4.4,4.3,4.0
90,69,Rambagh Palace,Jaipur,India,Southeast Asia,India Hotels Company Limited,96.44,69,78,Small,Palace,1835,19,1.0,88.0,2022,4.7,4.5,4.7,4.7,5.0,4.8,4.9,4.8,4.6
91,190,Rambagh Palace,Jaipur,India,Southeast Asia,India Hotels Company Limited,96.87,88,78,Small,Palace,1835,19,0.0,0.0,2021,4.7,4.5,4.7,4.7,5.0,4.8,4.9,4.8,4.6
92,70,Curtain Bluff,Saint John's,Antigua,Caribbean,Hulford family,96.44,69,72,Small,Beachfront,1962,20,0.0,0.0,2022,4.7,4.5,0.0,0.0,5.0,4.9,4.8,4.8,4.5
93,71,"Morrison House Old Town Alexandria, Autograph Collection",Alexandria,United States,North America,Marriott International,96.42,71,45,Small,Contemporary ,1864,19,0.0,0.0,2022,4.4,3.7,4.7,4.6,4.5,4.8,4.8,4.7,4.3
94,72,"The Lytle Park Hotel, Autograph Collection",Cincinnati,United States,North America,Marriott International,96.42,71,106,Small,Contemporary ,2019,21,0.0,0.0,2022,4.7,4.2,3.8,4.7,5.0,4.9,4.9,4.9,4.8
95,73,Twin Farms,Barnard,United States,North America,Thurston Twigg-Smith,96.42,73,20,Small,Lodge,1993,20,0.0,0.0,2022,4.7,4.1,4.8,0.0,5.0,4.8,4.9,4.8,4.3
96,74,Deer Path Inn,Lake Forest,United States,North America,Lake Forest Investments,96.4,74,55,Small,Manor,1929,20,0.0,0.0,2022,4.7,0.0,0.0,0.0,5.0,4.9,5.0,5.0,4.7
97,75,One&Only Nyungwe House,Nyamasheke Nyungwe Forest Reserve,Rwanda,Africa,Kerzner International,96.36,75,22,Small,Nature,2010,21,0.0,0.0,2022,4.8,5.0,5.0,0.0,5.0,5.0,5.0,4.9,4.5
98,76,W Santiago,Las Condes,Chile,Latin America,Marriott International,96.36,75,196,Medium,Contemporary ,2009,21,0.0,0.0,2022,4.6,3.5,4.4,3.7,4.0,4.6,4.5,4.2,3.8
99,77,Shangri-La Singapore,Singapore,Singapore,Southeast Asia,Kerry Properties,96.33,77,792,Mega,Contemporary ,1971,20,0.0,0.0,2022,4.6,4.2,3.8,4.3,4.5,4.4,4.7,4.7,4.2
100,78,L'Ermitage Beverly Hills,Beverly Hills,United States,North America,EOS Investors,96.28,78,116,Small,Contemporary ,1975,20,0.0,0.0,2022,4.6,0.0,0.0,0.0,4.5,4.8,4.9,4.8,4.5
101,79,Silo Hotel,Cape Town,South Africa,Africa,The Royal Portfolio,96.27,79,28,Small,Contemporary ,2017,21,0.0,0.0,2022,4.6,5.0,4.8,3.8,4.5,4.9,4.9,4.7,4.3
102,80,Katikies Santorini,Santorini,Greece,Europe,Katikies Resorts & Club,96.24,80,34,Small,Coastal,1987,20,0.0,0.0,2022,4.7,4.9,5.0,5.0,5.0,4.9,4.9,4.9,4.4
103,81,Nobu Hotel,Miami Beach,United States,North America,Davidson Hotels & Resorts,96.22,81,206,Medium,Beachfront,1957,20,0.0,0.0,2022,4.0,0.0,0.0,0.0,5.0,4.5,4.9,4.8,4.7
104,82,The Shore Club,Long Bay Beach,Turks and Caicos Islands,Caribbean,The Hartling Group,96.22,82,110,Small,Beachfront,2016,21,0.0,0.0,2022,4.4,4.2,4.2,4.0,4.5,4.7,4.9,4.5,4.3
